id,data_inversa,ano,mes,uf,br,km,Duplicação,UPS/km,UPS,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
260067,01/01/2020,2020,1,MG,381,671.5,sem obra,0.00565610859728507,5,4,0,4,0,0,0,4,1
260075,01/01/2020,2020,1,MG,381,548.5,sem obra,0.00113122171945701,1,1,0,0,0,1,0,0,1
260078,01/01/2020,2020,1,MG,381,325,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
260101,01/01/2020,2020,1,MG,381,489.1,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
260135,01/01/2020,2020,1,MG,381,857.9,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
260167,01/01/2020,2020,1,MG,381,895,sem obra,0.00113122171945701,1,2,0,0,0,2,0,0,2
260217,01/01/2020,2020,1,MG,381,502.5,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
260225,01/01/2020,2020,1,MG,381,667.5,sem obra,0.00113122171945701,1,2,0,0,0,1,1,0,2
260227,01/01/2020,2020,1,MG,381,353,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
260235,01/01/2020,2020,1,MG,381,835,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
260260,01/01/2020,2020,1,MG,381,487,sem obra,0.00565610859728507,5,3,0,2,0,1,0,2,1
260261,01/01/2020,2020,1,MG,381,499.4,sem obra,0.00113122171945701,1,1,0,0,0,0,1,0,1
260267,02/01/2020,2020,1,MG,381,584.3,sem obra,0.00565610859728507,5,3,0,0,3,0,0,3,1
260274,02/01/2020,2020,1,MG,381,443,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
260337,02/01/2020,2020,1,MG,381,589,sem obra,0.00565610859728507,5,8,0,1,0,7,0,1,1
260355,02/01/2020,2020,1,MG,381,710,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
260388,02/01/2020,2020,1,MG,381,799.5,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
260406,02/01/2020,2020,1,MG,381,734,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
260414,02/01/2020,2020,1,MG,381,439.4,sem obra,0.0147058823529412,13,4,1,1,2,0,0,3,2
260417,02/01/2020,2020,1,MG,381,671.5,sem obra,0.00565610859728507,5,4,0,3,0,1,0,3,1
260421,02/01/2020,2020,1,MG,381,484.9,sem obra,0.00565610859728507,5,26,0,24,1,1,0,25,1
260423,02/01/2020,2020,1,MG,381,892.8,sem obra,0.00113122171945701,1,2,0,0,0,2,0,0,1
260424,02/01/2020,2020,1,MG,381,912.5,sem obra,0.00565610859728507,5,5,0,3,0,2,0,3,1
260427,02/01/2020,2020,1,MG,381,924,sem obra,0.00565610859728507,5,3,0,1,0,2,0,1,1
260487,03/01/2020,2020,1,MG,381,651,sem obra,0.00113122171945701,1,2,0,0,0,2,0,0,1
260530,03/01/2020,2020,1,MG,381,268,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
260531,03/01/2020,2020,1,MG,381,592,sem obra,0.00113122171945701,1,2,0,0,0,2,0,0,2
260564,03/01/2020,2020,1,MG,381,615.5,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,1
260603,03/01/2020,2020,1,MG,381,345,sem obra,0.00565610859728507,5,8,0,1,7,0,0,8,2
260614,03/01/2020,2020,1,MG,381,371,sem obra,0.00565610859728507,5,5,0,1,0,1,3,1,2
260634,03/01/2020,2020,1,MG,381,529.5,sem obra,0.00565610859728507,5,5,0,1,0,4,0,1,3
260636,03/01/2020,2020,1,MG,381,342,sem obra,0.00565610859728507,5,5,0,5,0,0,0,5,2
260663,03/01/2020,2020,1,MG,381,486,sem obra,0.00565610859728507,5,1,0,0,1,0,0,1,1
260680,03/01/2020,2020,1,MG,381,673.3,sem obra,0.00565610859728507,5,4,0,2,0,2,0,2,1
260715,04/01/2020,2020,1,MG,381,742.2,sem obra,0.00565610859728507,5,3,0,2,1,0,0,3,1
260717,04/01/2020,2020,1,MG,381,882.4,sem obra,0.00565610859728507,5,5,0,3,0,2,0,3,2
260741,04/01/2020,2020,1,MG,381,940.9,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
260743,04/01/2020,2020,1,MG,381,749.6,sem obra,0.00565610859728507,5,50,0,0,2,48,0,2,3
260798,04/01/2020,2020,1,MG,381,935.9,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
260829,04/01/2020,2020,1,MG,381,671.5,sem obra,0.00565610859728507,5,2,0,1,1,0,0,2,1
260830,04/01/2020,2020,1,MG,381,929.7,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
260855,04/01/2020,2020,1,MG,381,651.7,sem obra,0.00565610859728507,5,3,0,3,0,0,0,3,1
260911,05/01/2020,2020,1,MG,381,509,sem obra,0.00113122171945701,1,1,0,0,0,0,1,0,1
260913,04/01/2020,2020,1,MG,381,726.8,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
260949,05/01/2020,2020,1,MG,381,761.7,sem obra,0.00113122171945701,1,1,0,0,0,1,0,0,1
260970,05/01/2020,2020,1,MG,381,496,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
260991,05/01/2020,2020,1,MG,381,895.5,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
260993,05/01/2020,2020,1,MG,381,697.3,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,1
260999,05/01/2020,2020,1,MG,381,213.3,sem obra,0.00565610859728507,5,3,0,2,0,1,0,2,2
261019,05/01/2020,2020,1,MG,381,900.8,sem obra,0.00565610859728507,5,8,0,1,0,7,0,1,2
261020,05/01/2020,2020,1,MG,381,723.7,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,1
261065,05/01/2020,2020,1,MG,381,546.4,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
261105,05/01/2020,2020,1,MG,381,442,sem obra,0.00565610859728507,5,6,0,0,5,1,0,5,2
261113,06/01/2020,2020,1,MG,381,689.3,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,1
261120,05/01/2020,2020,1,MG,381,159.8,sem obra,0.00113122171945701,1,1,0,0,0,0,1,0,1
261124,05/01/2020,2020,1,MG,381,908.3,sem obra,0.00565610859728507,5,2,0,1,0,0,1,1,2
261130,06/01/2020,2020,1,MG,381,486.6,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
261140,06/01/2020,2020,1,MG,381,840,sem obra,0.00565610859728507,5,2,0,0,2,0,0,2,1
261148,06/01/2020,2020,1,MG,381,549.6,sem obra,0.00113122171945701,1,2,0,0,0,2,0,0,1
261171,06/01/2020,2020,1,MG,381,336,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,1
261175,06/01/2020,2020,1,MG,381,630.8,sem obra,0.00565610859728507,5,3,0,2,1,0,0,3,1
261192,06/01/2020,2020,1,MG,381,845,sem obra,0.00565610859728507,5,3,0,3,0,0,0,3,1
261195,06/01/2020,2020,1,MG,381,853.2,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,1
261309,07/01/2020,2020,1,MG,381,873.8,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
261313,07/01/2020,2020,1,MG,381,369,sem obra,0.00565610859728507,5,4,0,2,0,2,0,2,2
261364,07/01/2020,2020,1,MG,381,701.1,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,1
261366,07/01/2020,2020,1,MG,381,435,sem obra,0.00565610859728507,5,4,0,1,0,3,0,1,3
261370,07/01/2020,2020,1,MG,381,439,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
261427,08/01/2020,2020,1,MG,381,869,sem obra,0.00565610859728507,5,2,0,0,1,1,0,1,2
261445,08/01/2020,2020,1,MG,381,601.5,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
261479,08/01/2020,2020,1,MG,381,482.3,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
261497,08/01/2020,2020,1,MG,381,584,sem obra,0.00113122171945701,1,3,0,0,0,3,0,0,3
261546,08/01/2020,2020,1,MG,381,711.4,sem obra,0.00565610859728507,5,2,0,1,1,0,0,2,1
261580,08/01/2020,2020,1,MG,381,502.8,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
261642,09/01/2020,2020,1,MG,381,934.4,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
261649,09/01/2020,2020,1,MG,381,412,Lote 7,0.133333333333333,5,2,0,0,1,1,0,1,2
261695,09/01/2020,2020,1,MG,381,500,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
261700,09/01/2020,2020,1,MG,381,606.6,sem obra,0.00565610859728507,5,4,0,1,0,3,0,1,1
261715,09/01/2020,2020,1,MG,381,497,sem obra,0.00565610859728507,5,2,0,1,0,0,1,1,2
261751,09/01/2020,2020,1,MG,381,744,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
261756,09/01/2020,2020,1,MG,381,543.9,sem obra,0.00565610859728507,5,3,0,1,0,2,0,1,1
261758,09/01/2020,2020,1,MG,381,543.9,sem obra,0.00113122171945701,1,1,0,0,0,1,0,0,1
261775,09/01/2020,2020,1,MG,381,302,Lote 3,0.174825174825175,5,1,0,1,0,0,0,1,1
261777,09/01/2020,2020,1,MG,381,739.5,sem obra,0.00565610859728507,5,3,0,1,0,2,0,1,2
261798,09/01/2020,2020,1,MG,381,620.9,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
261846,10/01/2020,2020,1,MG,381,915.8,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
261908,10/01/2020,2020,1,MG,381,901.8,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
262031,10/01/2020,2020,1,MG,381,532,sem obra,0.00113122171945701,1,1,0,0,0,1,0,0,1
262083,11/01/2020,2020,1,MG,381,503,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
262111,11/01/2020,2020,1,MG,381,484.3,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
262117,11/01/2020,2020,1,MG,381,626.8,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
262122,11/01/2020,2020,1,MG,381,352,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
262124,11/01/2020,2020,1,MG,381,907.4,sem obra,0.00565610859728507,5,1,0,0,1,0,0,1,1
262125,11/01/2020,2020,1,MG,381,481.1,sem obra,0.00565610859728507,5,2,0,0,1,1,0,1,2
262166,11/01/2020,2020,1,MG,381,454,sem obra,0.00565610859728507,5,5,0,3,0,2,0,3,3
262213,11/01/2020,2020,1,MG,381,513,sem obra,0.00113122171945701,1,2,0,0,0,2,0,0,2
262240,11/01/2020,2020,1,MG,381,582,sem obra,0.00565610859728507,5,3,0,2,0,1,0,2,1
