id,data_inversa,ano,mes,uf,br,km,obra_duplicada,UPS,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude
260067,01/01/2020,2020,1,MG,381,671.5,sem obra,5,4,0,4,0,0,0,4,1,-2.108.945.416,-4.506.864.195
260075,01/01/2020,2020,1,MG,381,548.5,sem obra,1,1,0,0,0,1,0,0,1,-203.102.109,-4.444.993.116
260078,01/01/2020,2020,1,MG,381,325,sem obra,5,1,0,1,0,0,0,1,1,-1.976.099.646,-430.362.466
260101,01/01/2020,2020,1,MG,381,489.1,sem obra,5,1,0,1,0,0,0,1,1,-1.996.245.618,-4.416.455.495
260135,01/01/2020,2020,1,MG,381,857.9,sem obra,5,2,0,2,0,0,0,2,1,-223.341.773,-4.592.156.967
260167,01/01/2020,2020,1,MG,381,895,sem obra,1,2,0,0,0,2,0,0,2,-2.262.324.893,-4.607.503.911
260217,01/01/2020,2020,1,MG,381,502.5,sem obra,5,2,0,1,0,1,0,1,2,-2.003.619.694,-4.424.586.303
260225,01/01/2020,2020,1,MG,381,667.5,sem obra,1,2,0,0,0,1,1,0,2,-2.105.312.771,-4.501.951.404
260227,01/01/2020,2020,1,MG,381,353,sem obra,5,1,0,1,0,0,0,1,1,-1.983.894.801,-4.318.248.641
260235,01/01/2020,2020,1,MG,381,835,sem obra,5,2,0,2,0,0,0,2,1,-2.217.094.703,-4.583.750.295
260260,01/01/2020,2020,1,MG,381,487,sem obra,5,3,0,2,0,1,0,2,1,-1.995.586.853,-4.414.609.501
260261,01/01/2020,2020,1,MG,381,499.4,sem obra,1,1,0,0,0,0,1,0,1,-1.999.754.736,-4.420.919.895
260267,02/01/2020,2020,1,MG,381,584.3,sem obra,5,3,0,0,3,0,0,3,1,-2.052.516.037,-4.463.089.389
260274,02/01/2020,2020,1,MG,381,443,sem obra,5,2,0,2,0,0,0,2,1,-19.822.546,-43.817.345
260337,02/01/2020,2020,1,MG,381,589,sem obra,5,8,0,1,0,7,0,1,1,-2.056.175.976,-4.466.523.212
260355,02/01/2020,2020,1,MG,381,710,sem obra,5,2,0,2,0,0,0,2,1,-2.138.614.615,-451.948.603
260388,02/01/2020,2020,1,MG,381,799.5,sem obra,5,1,0,1,0,0,0,1,1,-2.197.237.106,-4.563.123.585
260406,02/01/2020,2020,1,MG,381,734,sem obra,5,1,0,1,0,0,0,1,1,-2.157.173.297,-4.524.325.979
260414,02/01/2020,2020,1,MG,381,439.4,sem obra,13,4,1,1,2,0,0,3,2,-1.979.938.863,-4.376.137.197
260417,02/01/2020,2020,1,MG,381,671.5,sem obra,5,4,0,3,0,1,0,3,1,-2.108.945.416,-4.506.864.195
